height,week,plant,treatment
8,1,P01,control
8,2,P01,control
8,3,P01,control
8.2,4,P01,control
8.5,5,P01,control
8.9,6,P01,control
10,7,P01,control
6,1,P02,control
5.7,2,P02,control
5,3,P02,control
6.1,4,P02,control
6.5,5,P02,control
6.6,6,P02,control
8,7,P02,control
6,1,P03,control
6.1,2,P03,control
6.5,3,P03,control
8.1,4,P03,control
9,5,P03,control
9.6,6,P03,control
10.5,7,P03,control
5.5,1,P04,control
8.9,2,P04,control
9,3,P04,control
9,4,P04,control
9.5,5,P04,control
10.6,6,P04,control
11,7,P04,control
8.5,1,P05,control
9.4,2,P05,control
9.5,3,P05,control
9.8,4,P05,control
10,5,P05,control
11.5,6,P05,control
11.5,7,P05,control
6.5,1,P06,control
6.6,2,P06,control
8,3,P06,control
7.7,4,P06,control
7.5,5,P06,control
7.6,6,P06,control
8.5,7,P06,control
5,1,P07,control
5.9,2,P07,control
6,3,P07,control
6,4,P07,control
6,5,P07,control
7.1,6,P07,control
7.5,7,P07,control
6.5,1,P08,control
6.6,2,P08,control
7.5,3,P08,control
7.6,4,P08,control
8,5,P08,control
8.6,6,P08,control
10,7,P08,control
8,1,P09,control
8,2,P09,control
8,3,P09,control
8.1,4,P09,control
8.5,5,P09,control
8.5,6,P09,control
9,7,P09,control
5,1,P10,control
5.8,2,P10,control
6,3,P10,control
6.9,4,P10,control
7,5,P10,control
6.8,6,P10,control
6.5,7,P10,control
1.5,1,P11,control
3.3,2,P11,control
4,3,P11,control
4,4,P11,control
4,5,P11,control
4.3,6,P11,control
4.5,7,P11,control
9.5,1,P12,control
9.8,2,P12,control
10,3,P12,control
11.6,4,P12,control
13,5,P12,control
13,6,P12,control
13,7,P12,control
6.5,1,P13,treat1
7.2,2,P13,treat1
7.5,3,P13,treat1
7.8,4,P13,treat1
8,5,P13,treat1
11.3,6,P13,treat1
11.5,7,P13,treat1
8,1,P14,treat1
7.9,2,P14,treat1
7.5,3,P14,treat1
8.2,4,P14,treat1
9,5,P14,treat1
9.5,6,P14,treat1
12.5,7,P14,treat1
10.5,1,P15,treat1
11.2,2,P15,treat1
12.5,3,P15,treat1
12,4,P15,treat1
11.5,5,P15,treat1
11.9,6,P15,treat1
12,7,P15,treat1
5,1,P16,treat1
8.4,2,P16,treat1
8.5,3,P16,treat1
7.8,4,P16,treat1
7.5,5,P16,treat1
9.3,6,P16,treat1
11,7,P16,treat1
9.5,1,P17,treat1
9.9,2,P17,treat1
10.5,3,P17,treat1
11.4,4,P17,treat1
12,5,P17,treat1
12.7,6,P17,treat1
13.5,7,P17,treat1
7,1,P18,treat1
7,2,P18,treat1
7,3,P18,treat1
7.2,4,P18,treat1
9.5,5,P18,treat1
9.8,6,P18,treat1
11.5,7,P18,treat1
9,1,P19,treat1
8.5,2,P19,treat1
6.5,3,P19,treat1
8.9,4,P19,treat1
9.5,5,P19,treat1
9.5,6,P19,treat1
10.5,7,P19,treat1
12.5,1,P20,treat1
12.9,2,P20,treat1
13,3,P20,treat1
14.2,4,P20,treat1
16,5,P20,treat1
16.1,6,P20,treat1
16.5,7,P20,treat1
6.5,1,P21,treat1
7,2,P21,treat1
8.5,3,P21,treat1
8.6,4,P21,treat1
9,5,P21,treat1
9.8,6,P21,treat1
13,7,P21,treat1
2,1,P22,treat1
6.1,2,P22,treat1
9.5,3,P22,treat1
9.7,4,P22,treat1
11,5,P22,treat1
13.4,6,P22,treat1
14.5,7,P22,treat1
7.5,1,P23,treat1
9.3,2,P23,treat1
10.5,3,P23,treat1
10.5,4,P23,treat1
10.5,5,P23,treat1
10.7,6,P23,treat1
11,7,P23,treat1
7,1,P24,treat1
7,2,P24,treat1
6.5,3,P24,treat1
7.3,4,P24,treat1
8.5,5,P24,treat1
9.2,6,P24,treat1
10,7,P24,treat1
11,1,P25,treat2
10.4,2,P25,treat2
10,3,P25,treat2
11.2,4,P25,treat2
14,5,P25,treat2
15.1,6,P25,treat2
16,7,P25,treat2
8,1,P26,treat2
6.6,2,P26,treat2
5.5,3,P26,treat2
14.3,4,P26,treat2
16,5,P26,treat2
11.1,6,P26,treat2
11,7,P26,treat2
8,1,P27,treat2
9.1,2,P27,treat2
9.5,3,P27,treat2
9.6,4,P27,treat2
11,5,P27,treat2
13,6,P27,treat2
15,7,P27,treat2
5.3,1,P28,treat2
6.2,2,P28,treat2
8.1,3,P28,treat2
10.2,4,P28,treat2
10.4,5,P28,treat2
12.3,6,P28,treat2
13.5,7,P28,treat2
6.6,1,P29,treat2
8.3,2,P29,treat2
8.5,3,P29,treat2
12.2,4,P29,treat2
12.4,5,P29,treat2
12.4,6,P29,treat2
12.4,7,P29,treat2
5.7,1,P30,treat2
8.4,2,P30,treat2
9.1,3,P30,treat2
11,4,P30,treat2
11.4,5,P30,treat2
11.9,6,P30,treat2
14,7,P30,treat2
6.1,1,P31,treat2
6.3,2,P31,treat2
6.7,3,P31,treat2
7.8,4,P31,treat2
11.2,5,P31,treat2
11.3,6,P31,treat2
11.4,7,P31,treat2
5.8,1,P32,treat2
6.7,2,P32,treat2
8.1,3,P32,treat2
8.5,4,P32,treat2
11.5,5,P32,treat2
12.1,6,P32,treat2
13,7,P32,treat2
5.8,1,P33,treat2
6.6,2,P33,treat2
7.5,3,P33,treat2
9.6,4,P33,treat2
10.4,5,P33,treat2
10.5,6,P33,treat2
11.3,7,P33,treat2
5.7,1,P34,treat2
6.5,2,P34,treat2
9.6,3,P34,treat2
10.1,4,P34,treat2
10.3,5,P34,treat2
11.4,6,P34,treat2
11.5,7,P34,treat2
5.5,1,P35,treat2
6.2,2,P35,treat2
8.2,3,P35,treat2
8.2,4,P35,treat2
10.5,5,P35,treat2
11.1,6,P35,treat2
11.1,7,P35,treat2
7.6,1,P36,treat2
8.2,2,P36,treat2
8.3,3,P36,treat2
8.5,4,P36,treat2
11.2,5,P36,treat2
13.8,6,P36,treat2
13.9,7,P36,treat2
